Handle,Title,Body (HTML)<br/>,Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
gerald-trench-coat,,,,,,Color,Navy,Size,XL,,,,0,,1,deny,manual,239,,TRUE,TRUE
gerald-trench-coat,,,,,,Color,Navy,Size,XXL,,,,0,,1,deny,manual,239,,TRUE,TRUE
gerald-trench-coat,,,,,,Color,Green,Size,S,,,,0,,1,deny,manual,239,,TRUE,TRUE
gerald-trench-coat,,,,,,Color,Green,Size,M,,,,0,,1,deny,manual,239,,TRUE,TRUE
gerald-trench-coat,,,,,,Color,Green,Size,L,,,,0,,1,deny,manual,239,,TRUE,TRUE
gerald-trench-coat,,,,,,Color,Green,Size,XL,,,,0,,1,deny,manual,239,,TRUE,TRUE
gerald-trench-coat,,,,,,Color,Green,Size,XXL,,,,0,,1,deny,manual,239,,TRUE,TRUE
harriet-trouser,Harriet Trouser,"<p>Mens style relaxed fit trouser tapering at the hem.<br/>
Two slant and a watch pocket at the front and two pockets with button fastening at the back.<br/>
100% Japanese heavy weight cotton twill<br/>
Real horn buttons with a sanded finish<br/>
Heavily garment washed for softness<br/>
Made in Australia</p>",Three Over One,Trouser,Womens,Color,Taupe Twill,Size,25,,,,0,,1,deny,manual,209,,TRUE,TRUE
harriet-trouser,,,,,,Color,Taupe Twill,Size,26,,,,0,,1,deny,manual,209,,TRUE,TRUE
harriet-trouser,,,,,,Color,Taupe Twill,Size,27,,,,0,,1,deny,manual,209,,TRUE,TRUE
harriet-trouser,,,,,,Color,Taupe Twill,Size,28,,,,0,,1,deny,manual,209,,TRUE,TRUE
harriet-trouser,,,,,,Color,Taupe Twill,Size,29,,,,0,,1,deny,manual,209,,TRUE,TRUE
harriet-trouser,,,,,,Color,Taupe Twill,Size,30,,,,0,,1,deny,manual,209,,TRUE,TRUE
harriet-trouser,,,,,,Color,Navy Twill,Size,25,,,,0,,1,deny,manual,209,,TRUE,TRUE
harriet-trouser,,,,,,Color,Navy Twill,Size,26,,,,0,,1,deny,manual,209,,TRUE,TRUE
harriet-trouser,,,,,,Color,Navy Twill,Size,27,,,,0,,1,deny,manual,209,,TRUE,TRUE,
harriet-trouser,,,,,,Color,Navy Twill,Size,28,,,,0,,1,deny,manual,209,,TRUE,TRUE,
harriet-trouser,,,,,,Color,Navy Twill,Size,29,,,,0,,1,deny,manual,209,,TRUE,TRUE,
harriet-trouser,,,,,,Color,Navy Twill,Size,30,,,,0,,1,deny,manual,209,,TRUE,TRUE,
hattie-denim-jean,Hattie Denim Jean,"<p>Mens style relaxed fit trouser tapering at the hem.<br/>
Two slant and a watch pocket at the front and two pockets with button fastening at the back.<br/>
100% Japanese heavy weight cotton twill<br/>
Real horn buttons with a sanded finish<br/>
Heavily garment washed for softness<br/>
Made in Australia</p>",Three Over One,Jeans,Womens,Color,Raw Indigo Denim,Size,25,,,,0,,1,deny,manual,279,,TRUE,TRUE,
hattie-denim-jean,,,,,,Color,Raw Indigo Denim,Size,26,,,,0,,1,deny,manual,279,,TRUE,TRUE,
hattie-denim-jean,,,,,,Color,Raw Indigo Denim,Size,27,,,,0,,1,deny,manual,279,,TRUE,TRUE,
hattie-denim-jean,,,,,,Color,Raw Indigo Denim,Size,28,,,,0,,1,deny,manual,279,,TRUE,TRUE,
hattie-denim-jean,,,,,,Color,Raw Indigo Denim,Size,29,,,,0,,1,deny,manual,279,,TRUE,TRUE,
hattie-denim-jean,,,,,,Color,Raw Indigo Denim,Size,30,,,,0,,1,deny,manual,279,,TRUE,TRUE,
herbert-denim-jean,Herbert Denim Jean,"<p>Slim fit track short.<br/>
Button fly, drawstring waist, raw edge hem and woven fabric inner waistband<br/>
100% marled cotton loop back mid weight sweat fabric<br/>
Real corozo buttons<br/>
Heavily garment washed for softness<br/>
Made in China</p>",Three Over One,Jeans,Mens,Color,Raw Indigo Denim,Size,30,,,,0,,1,deny,manual,299,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/111_Herbert_denim_Jean_Rinse_Wash_Indigo_Front.jpg
herbert-denim-jean,,,,,,Color,Raw Indigo Denim,Size,32,,,,0,,1,deny,manual,299,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/112_Herbert_denim_Jean_Rinse_Wash_Indigo_Back.jpg
herbert-denim-jean,,,,,,Color,Raw Indigo Denim,Size,34,,,,0,,1,deny,manual,299,,TRUE,TRUE,
herbert-denim-jean,,,,,,Color,Raw Indigo Denim,Size,36,,,,0,,1,deny,manual,299,,TRUE,TRUE,
herbert-denim-jean,,,,,,Color,Raw Indigo Denim,Size,38,,,,0,,1,deny,manual,299,,TRUE,TRUE,
horace-athletic-track-pant,Horace Athletic Track Pant,"<p>Slim fit track pant.<br/>
Button fly, drawstring waist, ribbed hem and woven fabric inner waistband<br/>
100% marled cotton loop back mid weight sweat fabric<br/>
Real Corozo buttons<br/>
Heavily garment washed for softness<br/>
Made in China</p>",Three Over One,Track pants,Mens,Color,Navy Marl,Size,30,,,,0,,1,deny,manual,149,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/297_Horace_Athletic_Track_Pant_Navy_Marl_Front.jpg
horace-athletic-track-pant,,,,,,Color,Navy Marl,Size,32,,,,0,,1,deny,manual,149,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/298_Horace_Athletic_Track_Pant_Navy_Marl_Back.jpg
horace-athletic-track-pant,,,,,,Color,Navy Marl,Size,34,,,,0,,1,deny,manual,149,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/295_Horace_Athletic_Track_Pant_Grey_Marl_Front.jpg
horace-athletic-track-pant,,,,,,Color,Navy Marl,Size,36,,,,0,,1,deny,manual,149,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/296_Horace_Athletic_Track_Pant_Grey_Marl_Back.jpg
horace-athletic-track-pant,,,,,,Color,Navy Marl,Size,38,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-pant,,,,,,Color,Grey Marl,Size,30,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-pant,,,,,,Color,Grey Marl,Size,32,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-pant,,,,,,Color,Grey Marl,Size,34,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-pant,,,,,,Color,Grey Marl,Size,36,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-pant,,,,,,Color,Grey Marl,Size,38,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-short,Horace Athletic Track Short,"<p>Slim fit track short.<br/>
Button fly, drawstring waist, raw edge hem and woven fabric inner waistband<br/>
100% marled cotton loop back mid weight sweat fabric<br/>
Real corozo buttons<br/>
Heavily garment washed for softness<br/>
Made in China</p>",Three Over One,Track pants,Mens,Color,Navy Marl,Size,30,,,,0,,1,deny,manual,149,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/299_Horace_Athletic_Track_Short_Navy_Marl_Front.jpg
horace-athletic-track-short,,,,,,Color,Navy Marl,Size,32,,,,0,,1,deny,manual,149,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/300_Horace_Athletic_Track_Short_Navy_Marl_Back.jpg
horace-athletic-track-short,,,,,,Color,Navy Marl,Size,34,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-short,,,,,,Color,Navy Marl,Size,36,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-short,,,,,,Color,Navy Marl,Size,38,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-short,,,,,,Color,Grey Marl,Size,30,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-short,,,,,,Color,Grey Marl,Size,32,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-short,,,,,,Color,Grey Marl,Size,34,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-short,,,,,,Color,Grey Marl,Size,36,,,,0,,1,deny,manual,149,,TRUE,TRUE,
horace-athletic-track-short,,,,,,Color,Grey Marl,Size,38,,,,0,,1,deny,manual,149,,TRUE,TRUE,
howard-shorts-navy-floral,Howard Navy & Natural Floral Shorts,"<p>Relaxed fit short. <br/>
Two slant and a watch pocket at the front and two pockets with button fastening at the back.<br/>
100% Japanese mid weight cotton <br/>
Real horn buttons with a sanded finish<br/>
Heavily garment washed for softness<br/>
Made in Australia</p>",Three Over One,Shorts,Mens,Color,Navy and Natural Floral,Size,30,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/097_Howard_Short_Navy_and_Natural_Floral_Front.jpg
howard-shorts-navy-floral,,,,,,Color,Navy and Natural Floral,Size,32,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/099_Howard_Short_Navy_and_Natural_Floral_Back.jpg
howard-shorts-navy-floral,,,,,,Color,Navy and Natural Floral,Size,34,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-shorts-navy-floral,,,,,,Color,Navy and Natural Floral,Size,36,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-shorts-navy-floral,,,,,,Color,Navy and Natural Floral,Size,38,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-shorts-red-floral,Howard Burnt Red Floral Shorts,"<p>Relaxed fit short. <br/>
Two slant and a watch pocket at the front and two pockets with button fastening at the back.<br/>
100% Japanese mid weight cotton <br/>
Real horn buttons with a sanded finish<br/>
Heavily garment washed for softness<br/>
Made in Australia</p>",Three Over One,Shorts,Mens,Color,Burnt Red Floral,Size,30,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/093_Howard_Short_Burnt_Red_Floral_Front.jpg
howard-shorts-red-floral,,,,,,Color,Burnt Red Floral,Size,32,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/094_Howard_Short_Burnt_Red_Floral_Back.jpg
howard-shorts-red-floral,,,,,,Color,Burnt Red Floral,Size,34,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-shorts-red-floral,,,,,,Color,Burnt Red Floral,Size,36,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-shorts-red-floral,,,,,,Color,Burnt Red Floral,Size,38,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-trouser,Howard Trouser,"<p>Relaxed fit short. <br/>
Two slant and a watch pocket at the front and two pockets with button fastening at the back.<br/>
100% Japanese mid weight cotton <br/>
Real horn buttons with a sanded finish<br/>
Heavily garment washed for softness<br/>
Made in Australia</p>",Three Over One,Trouser,Mens,Color,Navy Twill,Size,30,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/101_Howard_Trouser_Navy_Twill_Front.jpg
howard-trouser,,,,,,Color,Navy Twill,Size,32,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/103_Howard_Trouser_Navy_Twill_Back.jpg
howard-trouser,,,,,,Color,Navy Twill,Size,34,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/104__Howard_Trouser_Green_Twill_Front.jpg
howard-trouser,,,,,,Color,Navy Twill,Size,36,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/105_Howard_Trouser_Green_Twill_Back.jpg
howard-trouser,,,,,,Color,Navy Twill,Size,38,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-trouser,,,,,,Color,Green Twill,Size,30,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-trouser,,,,,,Color,Green Twill,Size,32,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-trouser,,,,,,Color,Green Twill,Size,34,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-trouser,,,,,,Color,Green Twill,Size,36,,,,0,,1,deny,manual,239,,TRUE,TRUE,
howard-trouser,,,,,,Color,Green Twill,Size,38,,,,0,,1,deny,manual,239,,TRUE,TRUE,
jack-track-short,Jack Track Short,,Three Over One,Shorts,Mens,Color,Default Title,,,,,,0,,1,deny,manual,0,,TRUE,TRUE,
joseph-workers-coat,Joseph Worker's Coat,"<p>Relaxed fit short. <br/>
Two slant and a watch pocket at the front and two pockets with button fastening at the back.<br/>
100% Japanese mid weight cotton <br/>
Real horn buttons with a sanded finish<br/>
Heavily garment washed for softness<br/>
Made in Australia</p>",Three Over One,Coat,Mens,Color,Navy,Size,S,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/066_Joseph_Workers_Coat_Navy_Wool_Front.jpg
joseph-workers-coat,,,,,,Color,Navy,Size,M,,,,0,,1,deny,manual,239,,TRUE,TRUE,http://dl.dropbox.com/u/5929324/mens/069_Joseph_Workers_Coat_Navy_Wool_Back.jpg
joseph-workers-coat,,,,,,Color,Navy,Size,L,,,,0,,1,deny,manual,239,,TRUE,TRUE,
